"trainer/global_step","vanillasinh_small - train_loss","vanillasinh_small - train_loss__MIN","vanillasinh_small - train_loss__MAX","vanillasinh_small - _step","vanillasinh_small - _step__MIN","vanillasinh_small - _step__MAX"
"6799","0.13239000737667084","0.13239000737667084","0.13239000737667084","67","67","67"
"6899","0.13704273104667664","0.13704273104667664","0.13704273104667664","68","68","68"
"6999","0.13496358692646027","0.13496358692646027","0.13496358692646027","69","69","69"
"7099","0.13839282095432281","0.13839282095432281","0.13839282095432281","70","70","70"
"7199","0.13451077044010162","0.13451077044010162","0.13451077044010162","71","71","71"
"7299","0.1337214857339859","0.1337214857339859","0.1337214857339859","72","72","72"
"7399","0.13553881645202637","0.13553881645202637","0.13553881645202637","73","73","73"
"7499","0.13559061288833618","0.13559061288833618","0.13559061288833618","74","74","74"
"7599","0.1338619887828827","0.1338619887828827","0.1338619887828827","75","75","75"
"7699","0.13885486125946045","0.13885486125946045","0.13885486125946045","76","76","76"
"7799","0.1339390128850937","0.1339390128850937","0.1339390128850937","77","77","77"
"7899","0.13420462608337402","0.13420462608337402","0.13420462608337402","78","78","78"
"7999","0.13032042980194092","0.13032042980194092","0.13032042980194092","79","79","79"
"8099","0.1376039832830429","0.1376039832830429","0.1376039832830429","80","80","80"
"8199","0.13175110518932343","0.13175110518932343","0.13175110518932343","81","81","81"
"8299","0.1346534788608551","0.1346534788608551","0.1346534788608551","82","82","82"
"8399","0.13102278113365173","0.13102278113365173","0.13102278113365173","83","83","83"
"8499","0.134721577167511","0.134721577167511","0.134721577167511","84","84","84"
"8599","0.13256841897964478","0.13256841897964478","0.13256841897964478","85","85","85"
"8699","0.13200388848781586","0.13200388848781586","0.13200388848781586","86","86","86"
"8799","0.1322256177663803","0.1322256177663803","0.1322256177663803","87","87","87"
"8899","0.13469712436199188","0.13469712436199188","0.13469712436199188","88","88","88"
"8999","0.13514669239521027","0.13514669239521027","0.13514669239521027","89","89","89"
"9099","0.128065824508667","0.128065824508667","0.128065824508667","90","90","90"
"9199","0.12871313095092773","0.12871313095092773","0.12871313095092773","91","91","91"
"9299","0.12795594334602356","0.12795594334602356","0.12795594334602356","92","92","92"
"9399","0.1297493278980255","0.1297493278980255","0.1297493278980255","93","93","93"
"9499","0.13286802172660828","0.13286802172660828","0.13286802172660828","94","94","94"
"9599","0.12929102778434753","0.12929102778434753","0.12929102778434753","95","95","95"
"9699","0.1289428174495697","0.1289428174495697","0.1289428174495697","96","96","96"
"9799","0.12864099442958832","0.12864099442958832","0.12864099442958832","97","97","97"
"9899","0.12782350182533264","0.12782350182533264","0.12782350182533264","98","98","98"
"9999","0.12766975164413452","0.12766975164413452","0.12766975164413452","99","99","99"
"10099","0.13132154941558838","0.13132154941558838","0.13132154941558838","100","100","100"
"10199","0.13038896024227142","0.13038896024227142","0.13038896024227142","101","101","101"
"10299","0.12532632052898407","0.12532632052898407","0.12532632052898407","102","102","102"
"10399","0.12950275838375092","0.12950275838375092","0.12950275838375092","103","103","103"
"10499","0.13029839098453522","0.13029839098453522","0.13029839098453522","104","104","104"
"10599","0.124577596783638","0.124577596783638","0.124577596783638","105","105","105"
"10699","0.1282511204481125","0.1282511204481125","0.1282511204481125","106","106","106"
"10799","0.1314435601234436","0.1314435601234436","0.1314435601234436","107","107","107"
"10899","0.12989674508571625","0.12989674508571625","0.12989674508571625","108","108","108"
"10999","0.12606662511825562","0.12606662511825562","0.12606662511825562","109","109","109"
"11099","0.1294986605644226","0.1294986605644226","0.1294986605644226","110","110","110"
"11199","0.1251392960548401","0.1251392960548401","0.1251392960548401","111","111","111"
"11299","0.12762117385864258","0.12762117385864258","0.12762117385864258","112","112","112"
"11399","0.1354128122329712","0.1354128122329712","0.1354128122329712","113","113","113"
"11499","0.125173881649971","0.125173881649971","0.125173881649971","114","114","114"
"11599","0.12833386659622192","0.12833386659622192","0.12833386659622192","115","115","115"
"11699","0.12976305186748505","0.12976305186748505","0.12976305186748505","116","116","116"
"11799","0.13269560039043427","0.13269560039043427","0.13269560039043427","117","117","117"
"11899","0.13162803649902344","0.13162803649902344","0.13162803649902344","118","118","118"
"11999","0.13259729743003845","0.13259729743003845","0.13259729743003845","119","119","119"
"12099","0.12673580646514893","0.12673580646514893","0.12673580646514893","120","120","120"
"12199","0.12741565704345703","0.12741565704345703","0.12741565704345703","121","121","121"
"12299","0.12294167280197144","0.12294167280197144","0.12294167280197144","122","122","122"
"12399","0.12893132865428925","0.12893132865428925","0.12893132865428925","123","123","123"
"12499","0.1273990422487259","0.1273990422487259","0.1273990422487259","124","124","124"
"12599","0.12754617631435394","0.12754617631435394","0.12754617631435394","125","125","125"
"12699","0.12387827038764954","0.12387827038764954","0.12387827038764954","126","126","126"
"12799","0.13395527005195618","0.13395527005195618","0.13395527005195618","127","127","127"
"12899","0.12588177621364594","0.12588177621364594","0.12588177621364594","128","128","128"
"12999","0.12709034979343414","0.12709034979343414","0.12709034979343414","129","129","129"
"13099","0.1231740266084671","0.1231740266084671","0.1231740266084671","130","130","130"
"13199","0.1289658397436142","0.1289658397436142","0.1289658397436142","131","131","131"
"13299","0.12469503283500671","0.12469503283500671","0.12469503283500671","132","132","132"
"13399","0.12885232269763947","0.12885232269763947","0.12885232269763947","133","133","133"
"13499","0.1285068839788437","0.1285068839788437","0.1285068839788437","134","134","134"
"13599","0.13127410411834717","0.13127410411834717","0.13127410411834717","135","135","135"
"13699","0.1268353909254074","0.1268353909254074","0.1268353909254074","136","136","136"
"13799","0.13299629092216492","0.13299629092216492","0.13299629092216492","137","137","137"
"13899","0.12328872084617615","0.12328872084617615","0.12328872084617615","138","138","138"
"13999","0.12399235367774963","0.12399235367774963","0.12399235367774963","139","139","139"
"14099","0.12247782945632935","0.12247782945632935","0.12247782945632935","140","140","140"
