"trainer/global_step","causal_small - train_loss","causal_small - train_loss__MIN","causal_small - train_loss__MAX","causal_small - _step","causal_small - _step__MIN","causal_small - _step__MAX"
"6199","0.15537261962890625","0.15537261962890625","0.15537261962890625","61","61","61"
"6299","0.15761074423789978","0.15761074423789978","0.15761074423789978","62","62","62"
"6399","0.15209083259105682","0.15209083259105682","0.15209083259105682","63","63","63"
"6499","0.15309815108776093","0.15309815108776093","0.15309815108776093","64","64","64"
"6599","0.1553923636674881","0.1553923636674881","0.1553923636674881","65","65","65"
"6699","0.15555842220783234","0.15555842220783234","0.15555842220783234","66","66","66"
"6799","0.1543007493019104","0.1543007493019104","0.1543007493019104","67","67","67"
"6899","0.15594378113746643","0.15594378113746643","0.15594378113746643","68","68","68"
"6999","0.1564379185438156","0.1564379185438156","0.1564379185438156","69","69","69"
"7099","0.15724024176597595","0.15724024176597595","0.15724024176597595","70","70","70"
"7199","0.1572163850069046","0.1572163850069046","0.1572163850069046","71","71","71"
"7299","0.15358556807041168","0.15358556807041168","0.15358556807041168","72","72","72"
"7399","0.1551390439271927","0.1551390439271927","0.1551390439271927","73","73","73"
"7499","0.15621183812618256","0.15621183812618256","0.15621183812618256","74","74","74"
"7599","0.15549491345882416","0.15549491345882416","0.15549491345882416","75","75","75"
"7699","0.1577858328819275","0.1577858328819275","0.1577858328819275","76","76","76"
"7799","0.15361571311950684","0.15361571311950684","0.15361571311950684","77","77","77"
"7899","0.15290628373622894","0.15290628373622894","0.15290628373622894","78","78","78"
"7999","0.15202414989471436","0.15202414989471436","0.15202414989471436","79","79","79"
"8099","0.1563069075345993","0.1563069075345993","0.1563069075345993","80","80","80"
"8199","0.14894169569015503","0.14894169569015503","0.14894169569015503","81","81","81"
"8299","0.1534716784954071","0.1534716784954071","0.1534716784954071","82","82","82"
"8399","0.15274037420749664","0.15274037420749664","0.15274037420749664","83","83","83"
"8499","0.1535266786813736","0.1535266786813736","0.1535266786813736","84","84","84"
"8599","0.1538321077823639","0.1538321077823639","0.1538321077823639","85","85","85"
"8699","0.15327483415603638","0.15327483415603638","0.15327483415603638","86","86","86"
"8799","0.15041731297969818","0.15041731297969818","0.15041731297969818","87","87","87"
"8899","0.1536584496498108","0.1536584496498108","0.1536584496498108","88","88","88"
"8999","0.15616965293884277","0.15616965293884277","0.15616965293884277","89","89","89"
"9099","0.1505887806415558","0.1505887806415558","0.1505887806415558","90","90","90"
"9199","0.15093106031417847","0.15093106031417847","0.15093106031417847","91","91","91"
"9299","0.14631086587905884","0.14631086587905884","0.14631086587905884","92","92","92"
"9399","0.14940916001796722","0.14940916001796722","0.14940916001796722","93","93","93"
"9499","0.15598198771476746","0.15598198771476746","0.15598198771476746","94","94","94"
