"trainer/global_step","vanilla - train_loss","vanilla - train_loss__MIN","vanilla - train_loss__MAX","vanilla - _step","vanilla - _step__MIN","vanilla - _step__MAX"
"28499","0.1239905133843422","0.1239905133843422","0.1239905133843422","284","284","284"
"28599","0.11593839526176453","0.11593839526176453","0.11593839526176453","285","285","285"
"28699","0.1265266239643097","0.1265266239643097","0.1265266239643097","286","286","286"
"28799","0.12284500896930695","0.12284500896930695","0.12284500896930695","287","287","287"
"28899","0.122543565928936","0.122543565928936","0.122543565928936","288","288","288"
"28999","0.12227284908294678","0.12227284908294678","0.12227284908294678","289","289","289"
"29099","0.12500102818012238","0.12500102818012238","0.12500102818012238","290","290","290"
"29199","0.12799780070781708","0.12799780070781708","0.12799780070781708","291","291","291"
"29299","0.12581530213356018","0.12581530213356018","0.12581530213356018","292","292","292"
"29399","0.1220286637544632","0.1220286637544632","0.1220286637544632","293","293","293"
"29499","0.124885693192482","0.124885693192482","0.124885693192482","294","294","294"
"29599","0.11676303297281265","0.11676303297281265","0.11676303297281265","295","295","295"
"29699","0.124954454600811","0.124954454600811","0.124954454600811","296","296","296"
"29799","0.12322564423084259","0.12322564423084259","0.12322564423084259","297","297","297"
"29899","0.12482696026563644","0.12482696026563644","0.12482696026563644","298","298","298"
"29999","0.12575271725654602","0.12575271725654602","0.12575271725654602","299","299","299"
"30099","0.12122692167758942","0.12122692167758942","0.12122692167758942","300","300","300"
"30199","0.12107176333665848","0.12107176333665848","0.12107176333665848","301","301","301"
"30299","0.12183961272239685","0.12183961272239685","0.12183961272239685","302","302","302"
"30399","0.12720614671707153","0.12720614671707153","0.12720614671707153","303","303","303"
"30499","0.12294947355985641","0.12294947355985641","0.12294947355985641","304","304","304"
"30599","0.1187027171254158","0.1187027171254158","0.1187027171254158","305","305","305"
"30699","0.1264110654592514","0.1264110654592514","0.1264110654592514","306","306","306"
"30799","0.12236173450946808","0.12236173450946808","0.12236173450946808","307","307","307"
"30899","0.11851766705513","0.11851766705513","0.11851766705513","308","308","308"
"30999","0.12490921467542648","0.12490921467542648","0.12490921467542648","309","309","309"
"31099","0.11953593045473099","0.11953593045473099","0.11953593045473099","310","310","310"
"31199","0.12176872044801712","0.12176872044801712","0.12176872044801712","311","311","311"
"31299","0.12179940193891525","0.12179940193891525","0.12179940193891525","312","312","312"
"31399","0.12672121822834015","0.12672121822834015","0.12672121822834015","313","313","313"
"31499","0.1170378252863884","0.1170378252863884","0.1170378252863884","314","314","314"
"31599","0.12296389788389206","0.12296389788389206","0.12296389788389206","315","315","315"
"31699","0.12724462151527405","0.12724462151527405","0.12724462151527405","316","316","316"
"31799","0.1238548532128334","0.1238548532128334","0.1238548532128334","317","317","317"
"31899","0.12966316938400269","0.12966316938400269","0.12966316938400269","318","318","318"
"31999","0.12078297138214111","0.12078297138214111","0.12078297138214111","319","319","319"
"32099","0.12190038710832596","0.12190038710832596","0.12190038710832596","320","320","320"
"32199","0.12724140286445618","0.12724140286445618","0.12724140286445618","321","321","321"
"32299","0.1211429014801979","0.1211429014801979","0.1211429014801979","322","322","322"
