"trainer/global_step","prefix4sinh - train_loss","prefix4sinh - train_loss__MIN","prefix4sinh - train_loss__MAX","prefix4sinh - _step","prefix4sinh - _step__MIN","prefix4sinh - _step__MAX"
"7699","0.15333987772464752","0.15333987772464752","0.15333987772464752","76","76","76"
"7799","0.14901387691497803","0.14901387691497803","0.14901387691497803","77","77","77"
"7899","0.1588037759065628","0.1588037759065628","0.1588037759065628","78","78","78"
"7999","0.15208160877227783","0.15208160877227783","0.15208160877227783","79","79","79"
"8099","0.15051890909671783","0.15051890909671783","0.15051890909671783","80","80","80"
"8199","0.15347380936145782","0.15347380936145782","0.15347380936145782","81","81","81"
"8299","0.1528480052947998","0.1528480052947998","0.1528480052947998","82","82","82"
"8399","0.15518489480018616","0.15518489480018616","0.15518489480018616","83","83","83"
"8499","0.15150591731071472","0.15150591731071472","0.15150591731071472","84","84","84"
"8599","0.15546424686908722","0.15546424686908722","0.15546424686908722","85","85","85"
"8699","0.15237179398536682","0.15237179398536682","0.15237179398536682","86","86","86"
"8799","0.15330734848976135","0.15330734848976135","0.15330734848976135","87","87","87"
"8899","0.1554613560438156","0.1554613560438156","0.1554613560438156","88","88","88"
"8999","0.1551968902349472","0.1551968902349472","0.1551968902349472","89","89","89"
"9099","0.15460218489170074","0.15460218489170074","0.15460218489170074","90","90","90"
"9199","0.14840705692768097","0.14840705692768097","0.14840705692768097","91","91","91"
"9299","0.14722856879234314","0.14722856879234314","0.14722856879234314","92","92","92"
"9399","0.15192611515522003","0.15192611515522003","0.15192611515522003","93","93","93"
"9499","0.14858320355415344","0.14858320355415344","0.14858320355415344","94","94","94"
"9599","0.14775393903255463","0.14775393903255463","0.14775393903255463","95","95","95"
"9699","0.16068261861801147","0.16068261861801147","0.16068261861801147","96","96","96"
"9799","0.24843239784240723","0.24843239784240723","0.24843239784240723","97","97","97"
"9899","0.19197651743888855","0.19197651743888855","0.19197651743888855","98","98","98"
"9999","0.17568281292915344","0.17568281292915344","0.17568281292915344","99","99","99"
"10099","0.17637832462787628","0.17637832462787628","0.17637832462787628","100","100","100"
"10199","0.17249707877635956","0.17249707877635956","0.17249707877635956","101","101","101"
"10299","0.15894590318202972","0.15894590318202972","0.15894590318202972","102","102","102"
"10399","0.15529215335845947","0.15529215335845947","0.15529215335845947","103","103","103"
"10499","0.1589508354663849","0.1589508354663849","0.1589508354663849","104","104","104"
"10599","0.1622922420501709","0.1622922420501709","0.1622922420501709","105","105","105"
"10699","0.1577845960855484","0.1577845960855484","0.1577845960855484","106","106","106"
"10799","0.14974431693553925","0.14974431693553925","0.14974431693553925","107","107","107"
"10899","0.1546940952539444","0.1546940952539444","0.1546940952539444","108","108","108"
"10999","0.14717863500118256","0.14717863500118256","0.14717863500118256","109","109","109"
"11099","0.1508994698524475","0.1508994698524475","0.1508994698524475","110","110","110"
"11199","0.15486450493335724","0.15486450493335724","0.15486450493335724","111","111","111"
"11299","0.1554529368877411","0.1554529368877411","0.1554529368877411","112","112","112"
"11399","0.14461731910705566","0.14461731910705566","0.14461731910705566","113","113","113"
"11499","0.1462010145187378","0.1462010145187378","0.1462010145187378","114","114","114"
"11599","0.15334708988666534","0.15334708988666534","0.15334708988666534","115","115","115"
"11699","0.15455715358257294","0.15455715358257294","0.15455715358257294","116","116","116"
"11799","0.15294867753982544","0.15294867753982544","0.15294867753982544","117","117","117"
"11899","0.14852365851402283","0.14852365851402283","0.14852365851402283","118","118","118"
"11999","0.14439857006072998","0.14439857006072998","0.14439857006072998","119","119","119"
"12099","0.15435948967933655","0.15435948967933655","0.15435948967933655","120","120","120"
"12199","0.1485697478055954","0.1485697478055954","0.1485697478055954","121","121","121"
"12299","0.15071429312229156","0.15071429312229156","0.15071429312229156","122","122","122"
"12399","0.1425415426492691","0.1425415426492691","0.1425415426492691","123","123","123"
"12499","0.15077988803386688","0.15077988803386688","0.15077988803386688","124","124","124"
"12599","0.15231657028198242","0.15231657028198242","0.15231657028198242","125","125","125"
"12699","0.15180344879627228","0.15180344879627228","0.15180344879627228","126","126","126"
"12799","0.1454533338546753","0.1454533338546753","0.1454533338546753","127","127","127"
"12899","0.145711749792099","0.145711749792099","0.145711749792099","128","128","128"
"12999","0.15258745849132538","0.15258745849132538","0.15258745849132538","129","129","129"
"13099","0.14438694715499878","0.14438694715499878","0.14438694715499878","130","130","130"
"13199","0.14417938888072968","0.14417938888072968","0.14417938888072968","131","131","131"
"13299","0.14108820259571075","0.14108820259571075","0.14108820259571075","132","132","132"
"13399","0.14390908181667328","0.14390908181667328","0.14390908181667328","133","133","133"
"13499","0.14191292226314545","0.14191292226314545","0.14191292226314545","134","134","134"
"13599","0.14421120285987854","0.14421120285987854","0.14421120285987854","135","135","135"
"13699","0.14311721920967102","0.14311721920967102","0.14311721920967102","136","136","136"
"13799","0.14384567737579346","0.14384567737579346","0.14384567737579346","137","137","137"
"13899","0.13884125649929047","0.13884125649929047","0.13884125649929047","138","138","138"
"13999","0.14165762066841125","0.14165762066841125","0.14165762066841125","139","139","139"
"14099","0.1410922259092331","0.1410922259092331","0.1410922259092331","140","140","140"
"14199","0.14737701416015625","0.14737701416015625","0.14737701416015625","141","141","141"
"14299","0.14227618277072906","0.14227618277072906","0.14227618277072906","142","142","142"
"14399","0.14307479560375214","0.14307479560375214","0.14307479560375214","143","143","143"
"14499","0.1399858593940735","0.1399858593940735","0.1399858593940735","144","144","144"
"14599","0.14321692287921906","0.14321692287921906","0.14321692287921906","145","145","145"
"14699","0.14325125515460968","0.14325125515460968","0.14325125515460968","146","146","146"
"14799","0.14577893912792206","0.14577893912792206","0.14577893912792206","147","147","147"
"14899","0.1445668786764145","0.1445668786764145","0.1445668786764145","148","148","148"
"14999","0.1394006311893463","0.1394006311893463","0.1394006311893463","149","149","149"
"15099","0.14139533042907715","0.14139533042907715","0.14139533042907715","150","150","150"
"15199","0.144327312707901","0.144327312707901","0.144327312707901","151","151","151"
"15299","0.13534994423389435","0.13534994423389435","0.13534994423389435","152","152","152"
"15399","0.1389026939868927","0.1389026939868927","0.1389026939868927","153","153","153"
"15499","0.14422789216041565","0.14422789216041565","0.14422789216041565","154","154","154"
"15599","0.13922198116779327","0.13922198116779327","0.13922198116779327","155","155","155"
"15699","0.14985109865665436","0.14985109865665436","0.14985109865665436","156","156","156"
"15799","0.21669930219650269","0.21669930219650269","0.21669930219650269","157","157","157"
"15899","0.15467138588428497","0.15467138588428497","0.15467138588428497","158","158","158"
"15999","0.14783523976802826","0.14783523976802826","0.14783523976802826","159","159","159"
"16099","0.14928321540355682","0.14928321540355682","0.14928321540355682","160","160","160"
"16199","0.14277657866477966","0.14277657866477966","0.14277657866477966","161","161","161"
"16299","0.13968658447265625","0.13968658447265625","0.13968658447265625","162","162","162"
"16399","0.14092284440994263","0.14092284440994263","0.14092284440994263","163","163","163"
"16499","0.13956792652606964","0.13956792652606964","0.13956792652606964","164","164","164"
"16599","0.14900563657283783","0.14900563657283783","0.14900563657283783","165","165","165"
"16699","0.14130064845085144","0.14130064845085144","0.14130064845085144","166","166","166"
"16799","0.13406607508659363","0.13406607508659363","0.13406607508659363","167","167","167"
"16899","0.14378945529460907","0.14378945529460907","0.14378945529460907","168","168","168"
"16999","0.1393175572156906","0.1393175572156906","0.1393175572156906","169","169","169"
"17099","0.1411803662776947","0.1411803662776947","0.1411803662776947","170","170","170"
"17199","0.14019572734832764","0.14019572734832764","0.14019572734832764","171","171","171"
"17299","0.14286163449287415","0.14286163449287415","0.14286163449287415","172","172","172"
"17399","0.13723739981651306","0.13723739981651306","0.13723739981651306","173","173","173"
"17499","0.1345149278640747","0.1345149278640747","0.1345149278640747","174","174","174"
"17599","0.1422901153564453","0.1422901153564453","0.1422901153564453","175","175","175"
"17699","0.14093813300132751","0.14093813300132751","0.14093813300132751","176","176","176"
"17799","0.14080093801021576","0.14080093801021576","0.14080093801021576","177","177","177"
"17899","0.13810718059539795","0.13810718059539795","0.13810718059539795","178","178","178"
"17999","0.13629592955112457","0.13629592955112457","0.13629592955112457","179","179","179"
"18099","0.141412615776062","0.141412615776062","0.141412615776062","180","180","180"
"18199","0.13739554584026337","0.13739554584026337","0.13739554584026337","181","181","181"
"18299","0.14224782586097717","0.14224782586097717","0.14224782586097717","182","182","182"
"18399","0.13528335094451904","0.13528335094451904","0.13528335094451904","183","183","183"
"18499","0.13450376689434052","0.13450376689434052","0.13450376689434052","184","184","184"
"18599","0.1400459110736847","0.1400459110736847","0.1400459110736847","185","185","185"
"18699","0.14374695718288422","0.14374695718288422","0.14374695718288422","186","186","186"
"18799","0.13824491202831268","0.13824491202831268","0.13824491202831268","187","187","187"
"18899","0.14153875410556793","0.14153875410556793","0.14153875410556793","188","188","188"
"18999","0.13631953299045563","0.13631953299045563","0.13631953299045563","189","189","189"
"19099","0.13283014297485352","0.13283014297485352","0.13283014297485352","190","190","190"
"19199","0.13835357129573822","0.13835357129573822","0.13835357129573822","191","191","191"
"19299","0.13489562273025513","0.13489562273025513","0.13489562273025513","192","192","192"
"19399","0.13787713646888733","0.13787713646888733","0.13787713646888733","193","193","193"
"19499","0.13736505806446075","0.13736505806446075","0.13736505806446075","194","194","194"
"19599","0.14420096576213837","0.14420096576213837","0.14420096576213837","195","195","195"
"19699","0.13787302374839783","0.13787302374839783","0.13787302374839783","196","196","196"
"19799","0.13915181159973145","0.13915181159973145","0.13915181159973145","197","197","197"
"19899","0.14090313017368317","0.14090313017368317","0.14090313017368317","198","198","198"
"19999","0.13558626174926758","0.13558626174926758","0.13558626174926758","199","199","199"
"20099","0.13778041303157806","0.13778041303157806","0.13778041303157806","200","200","200"
"20199","0.13852334022521973","0.13852334022521973","0.13852334022521973","201","201","201"
"20299","0.13842330873012543","0.13842330873012543","0.13842330873012543","202","202","202"
"20399","0.1805184781551361","0.1805184781551361","0.1805184781551361","203","203","203"
"20499","0.17515987157821655","0.17515987157821655","0.17515987157821655","204","204","204"
"20599","0.16968019306659698","0.16968019306659698","0.16968019306659698","205","205","205"
"20699","0.16750513017177582","0.16750513017177582","0.16750513017177582","206","206","206"
"20799","0.16133253276348114","0.16133253276348114","0.16133253276348114","207","207","207"
"20899","0.1568034142255783","0.1568034142255783","0.1568034142255783","208","208","208"
"20999","0.15721039474010468","0.15721039474010468","0.15721039474010468","209","209","209"
"21099","0.15627428889274597","0.15627428889274597","0.15627428889274597","210","210","210"
"21199","0.15138588845729828","0.15138588845729828","0.15138588845729828","211","211","211"
"21299","0.1565675288438797","0.1565675288438797","0.1565675288438797","212","212","212"
"21399","0.15330025553703308","0.15330025553703308","0.15330025553703308","213","213","213"
"21499","0.14848794043064117","0.14848794043064117","0.14848794043064117","214","214","214"
"21599","0.14809264242649078","0.14809264242649078","0.14809264242649078","215","215","215"
"21699","0.15071368217468262","0.15071368217468262","0.15071368217468262","216","216","216"
"21799","0.15184833109378815","0.15184833109378815","0.15184833109378815","217","217","217"
"21899","0.14954739809036255","0.14954739809036255","0.14954739809036255","218","218","218"
"21999","0.14797213673591614","0.14797213673591614","0.14797213673591614","219","219","219"
"22099","0.14584673941135406","0.14584673941135406","0.14584673941135406","220","220","220"
"22199","0.13822311162948608","0.13822311162948608","0.13822311162948608","221","221","221"
"22299","0.14778238534927368","0.14778238534927368","0.14778238534927368","222","222","222"
"22399","0.1432378888130188","0.1432378888130188","0.1432378888130188","223","223","223"
"22499","0.1459660679101944","0.1459660679101944","0.1459660679101944","224","224","224"
"22599","0.15061253309249878","0.15061253309249878","0.15061253309249878","225","225","225"
"22699","0.1457289308309555","0.1457289308309555","0.1457289308309555","226","226","226"
"22799","0.14257842302322388","0.14257842302322388","0.14257842302322388","227","227","227"
"22899","0.1425694227218628","0.1425694227218628","0.1425694227218628","228","228","228"
"22999","0.14147135615348816","0.14147135615348816","0.14147135615348816","229","229","229"
"23099","0.1435578316450119","0.1435578316450119","0.1435578316450119","230","230","230"
"23199","0.14035850763320923","0.14035850763320923","0.14035850763320923","231","231","231"
