"trainer/global_step","causal - train_loss","causal - train_loss__MIN","causal - train_loss__MAX","causal - _step","causal - _step__MIN","causal - _step__MAX"
"5899","0.15581999719142914","0.15581999719142914","0.15581999719142914","58","58","58"
"5999","0.15154652297496796","0.15154652297496796","0.15154652297496796","59","59","59"
"6099","0.16058798134326935","0.16058798134326935","0.16058798134326935","60","60","60"
"6199","0.15937083959579468","0.15937083959579468","0.15937083959579468","61","61","61"
"6299","0.15229013562202454","0.15229013562202454","0.15229013562202454","62","62","62"
"6399","0.15481625497341156","0.15481625497341156","0.15481625497341156","63","63","63"
"6499","0.15021036565303802","0.15021036565303802","0.15021036565303802","64","64","64"
"6599","0.14784911274909973","0.14784911274909973","0.14784911274909973","65","65","65"
"6699","0.14889933168888092","0.14889933168888092","0.14889933168888092","66","66","66"
"6799","0.15914537012577057","0.15914537012577057","0.15914537012577057","67","67","67"
"6899","0.15257446467876434","0.15257446467876434","0.15257446467876434","68","68","68"
"6999","0.15612207353115082","0.15612207353115082","0.15612207353115082","69","69","69"
"7099","0.14822076261043549","0.14822076261043549","0.14822076261043549","70","70","70"
"7199","0.14977246522903442","0.14977246522903442","0.14977246522903442","71","71","71"
"7299","0.14471209049224854","0.14471209049224854","0.14471209049224854","72","72","72"
"7399","0.15394484996795654","0.15394484996795654","0.15394484996795654","73","73","73"
"7499","0.14945532381534576","0.14945532381534576","0.14945532381534576","74","74","74"
"7599","0.15179254114627838","0.15179254114627838","0.15179254114627838","75","75","75"
"7699","0.14948949217796326","0.14948949217796326","0.14948949217796326","76","76","76"
"7799","0.14706683158874512","0.14706683158874512","0.14706683158874512","77","77","77"
"7899","0.1541299968957901","0.1541299968957901","0.1541299968957901","78","78","78"
"7999","0.14539113640785217","0.14539113640785217","0.14539113640785217","79","79","79"
"8099","0.14688947796821594","0.14688947796821594","0.14688947796821594","80","80","80"
"8199","0.15114060044288635","0.15114060044288635","0.15114060044288635","81","81","81"
"8299","0.15140432119369507","0.15140432119369507","0.15140432119369507","82","82","82"
"8399","0.15024474263191223","0.15024474263191223","0.15024474263191223","83","83","83"
"8499","0.1480167657136917","0.1480167657136917","0.1480167657136917","84","84","84"
"8599","0.14750297367572784","0.14750297367572784","0.14750297367572784","85","85","85"
"8699","0.14647182822227478","0.14647182822227478","0.14647182822227478","86","86","86"
"8799","0.1499984860420227","0.1499984860420227","0.1499984860420227","87","87","87"
"8899","0.14977869391441345","0.14977869391441345","0.14977869391441345","88","88","88"
"8999","0.1499401330947876","0.1499401330947876","0.1499401330947876","89","89","89"
"9099","0.14882178604602814","0.14882178604602814","0.14882178604602814","90","90","90"
"9199","0.1443084329366684","0.1443084329366684","0.1443084329366684","91","91","91"
"9299","0.14413891732692719","0.14413891732692719","0.14413891732692719","92","92","92"
"9399","0.14841067790985107","0.14841067790985107","0.14841067790985107","93","93","93"
"9499","0.14746010303497314","0.14746010303497314","0.14746010303497314","94","94","94"
"9599","0.14622358977794647","0.14622358977794647","0.14622358977794647","95","95","95"
"9699","0.15047569572925568","0.15047569572925568","0.15047569572925568","96","96","96"
"9799","0.14346356689929962","0.14346356689929962","0.14346356689929962","97","97","97"
"9899","0.14039385318756104","0.14039385318756104","0.14039385318756104","98","98","98"
"9999","0.14326097071170807","0.14326097071170807","0.14326097071170807","99","99","99"
"10099","0.14250336587429047","0.14250336587429047","0.14250336587429047","100","100","100"
"10199","0.14651571214199066","0.14651571214199066","0.14651571214199066","101","101","101"
"10299","0.13973550498485565","0.13973550498485565","0.13973550498485565","102","102","102"
"10399","0.1429980993270874","0.1429980993270874","0.1429980993270874","103","103","103"
"10499","0.14364983141422272","0.14364983141422272","0.14364983141422272","104","104","104"
"10599","0.14772681891918182","0.14772681891918182","0.14772681891918182","105","105","105"
"10699","0.14871373772621155","0.14871373772621155","0.14871373772621155","106","106","106"
"10799","0.14010976254940033","0.14010976254940033","0.14010976254940033","107","107","107"
"10899","0.14590847492218018","0.14590847492218018","0.14590847492218018","108","108","108"
"10999","0.1358252614736557","0.1358252614736557","0.1358252614736557","109","109","109"
"11099","0.14162270724773407","0.14162270724773407","0.14162270724773407","110","110","110"
"11199","0.1471809595823288","0.1471809595823288","0.1471809595823288","111","111","111"
"11299","0.1455419808626175","0.1455419808626175","0.1455419808626175","112","112","112"
"11399","0.13864263892173767","0.13864263892173767","0.13864263892173767","113","113","113"
"11499","0.140024334192276","0.140024334192276","0.140024334192276","114","114","114"
"11599","0.14136077463626862","0.14136077463626862","0.14136077463626862","115","115","115"
"11699","0.1503990888595581","0.1503990888595581","0.1503990888595581","116","116","116"
"11799","0.14733636379241943","0.14733636379241943","0.14733636379241943","117","117","117"
"11899","0.14117847383022308","0.14117847383022308","0.14117847383022308","118","118","118"
"11999","0.1401410698890686","0.1401410698890686","0.1401410698890686","119","119","119"
"12099","0.14111649990081787","0.14111649990081787","0.14111649990081787","120","120","120"
"12199","0.14581920206546783","0.14581920206546783","0.14581920206546783","121","121","121"
"12299","0.13824725151062012","0.13824725151062012","0.13824725151062012","122","122","122"
"12399","0.13692930340766907","0.13692930340766907","0.13692930340766907","123","123","123"
"12499","0.14373552799224854","0.14373552799224854","0.14373552799224854","124","124","124"
"12599","0.14499549567699432","0.14499549567699432","0.14499549567699432","125","125","125"
"12699","0.14795838296413422","0.14795838296413422","0.14795838296413422","126","126","126"
"12799","0.1420295238494873","0.1420295238494873","0.1420295238494873","127","127","127"
"12899","0.14113342761993408","0.14113342761993408","0.14113342761993408","128","128","128"
"12999","0.14692895114421844","0.14692895114421844","0.14692895114421844","129","129","129"
