"trainer/global_step","prefix8_pt1 - train_loss","prefix8_pt1 - train_loss__MIN","prefix8_pt1 - train_loss__MAX","prefix8_pt1 - _step","prefix8_pt1 - _step__MIN","prefix8_pt1 - _step__MAX"
"99","0.2547534704208374","0.2547534704208374","0.2547534704208374","0","0","0"
"199","0.22860701382160187","0.22860701382160187","0.22860701382160187","1","1","1"
"299","0.21144463121891022","0.21144463121891022","0.21144463121891022","2","2","2"
"399","0.20538575947284698","0.20538575947284698","0.20538575947284698","3","3","3"
"499","0.1985350102186203","0.1985350102186203","0.1985350102186203","4","4","4"
"599","0.194562628865242","0.194562628865242","0.194562628865242","5","5","5"
"699","0.19582399725914001","0.19582399725914001","0.19582399725914001","6","6","6"
"799","0.18897438049316406","0.18897438049316406","0.18897438049316406","7","7","7"
"899","0.1852327585220337","0.1852327585220337","0.1852327585220337","8","8","8"
"999","0.18455609679222107","0.18455609679222107","0.18455609679222107","9","9","9"
"1099","0.18448898196220398","0.18448898196220398","0.18448898196220398","10","10","10"
"1199","0.1793912649154663","0.1793912649154663","0.1793912649154663","11","11","11"
"1299","0.17751511931419373","0.17751511931419373","0.17751511931419373","12","12","12"
"1399","0.1718657910823822","0.1718657910823822","0.1718657910823822","13","13","13"
"1499","0.17129196226596832","0.17129196226596832","0.17129196226596832","14","14","14"
"1599","0.1737212836742401","0.1737212836742401","0.1737212836742401","15","15","15"
"1699","0.1747468262910843","0.1747468262910843","0.1747468262910843","16","16","16"
"1799","0.17697283625602722","0.17697283625602722","0.17697283625602722","17","17","17"
"1899","0.16457675397396088","0.16457675397396088","0.16457675397396088","18","18","18"
"1999","0.16520936787128448","0.16520936787128448","0.16520936787128448","19","19","19"
"2099","0.1657021939754486","0.1657021939754486","0.1657021939754486","20","20","20"
"2199","0.16459046304225922","0.16459046304225922","0.16459046304225922","21","21","21"
"2299","0.16670502722263336","0.16670502722263336","0.16670502722263336","22","22","22"
"2399","0.1620725691318512","0.1620725691318512","0.1620725691318512","23","23","23"
