"trainer/global_step","causalsinh - train_loss","causalsinh - train_loss__MIN","causalsinh - train_loss__MAX","causalsinh - _step","causalsinh - _step__MIN","causalsinh - _step__MAX"
"11599","0.14387156069278717","0.14387156069278717","0.14387156069278717","115","115","115"
"11699","0.15188251435756683","0.15188251435756683","0.15188251435756683","116","116","116"
"11799","0.14969991147518158","0.14969991147518158","0.14969991147518158","117","117","117"
"11899","0.14369167387485504","0.14369167387485504","0.14369167387485504","118","118","118"
"11999","0.14266511797904968","0.14266511797904968","0.14266511797904968","119","119","119"
"12099","0.14408090710639954","0.14408090710639954","0.14408090710639954","120","120","120"
"12199","0.1485283523797989","0.1485283523797989","0.1485283523797989","121","121","121"
"12299","0.14128103852272034","0.14128103852272034","0.14128103852272034","122","122","122"
"12399","0.13926491141319275","0.13926491141319275","0.13926491141319275","123","123","123"
"12499","0.1460869014263153","0.1460869014263153","0.1460869014263153","124","124","124"
"12599","0.14792510867118835","0.14792510867118835","0.14792510867118835","125","125","125"
"12699","0.14992547035217285","0.14992547035217285","0.14992547035217285","126","126","126"
"12799","0.1442641168832779","0.1442641168832779","0.1442641168832779","127","127","127"
"12899","0.14300455152988434","0.14300455152988434","0.14300455152988434","128","128","128"
"12999","0.14886252582073212","0.14886252582073212","0.14886252582073212","129","129","129"
"13099","0.14173723757266998","0.14173723757266998","0.14173723757266998","130","130","130"
"13199","0.1434258669614792","0.1434258669614792","0.1434258669614792","131","131","131"
"13299","0.14114750921726227","0.14114750921726227","0.14114750921726227","132","132","132"
"13399","0.14140726625919342","0.14140726625919342","0.14140726625919342","133","133","133"
"13499","0.14309673011302948","0.14309673011302948","0.14309673011302948","134","134","134"
"13599","0.14391779899597168","0.14391779899597168","0.14391779899597168","135","135","135"
"13699","0.14023946225643158","0.14023946225643158","0.14023946225643158","136","136","136"
"13799","0.1442258059978485","0.1442258059978485","0.1442258059978485","137","137","137"
"13899","0.13671354949474335","0.13671354949474335","0.13671354949474335","138","138","138"
"13999","0.14084550738334656","0.14084550738334656","0.14084550738334656","139","139","139"
"14099","0.1406816840171814","0.1406816840171814","0.1406816840171814","140","140","140"
"14199","0.1447012573480606","0.1447012573480606","0.1447012573480606","141","141","141"
"14299","0.13916265964508057","0.13916265964508057","0.13916265964508057","142","142","142"
"14399","0.14267171919345856","0.14267171919345856","0.14267171919345856","143","143","143"
"14499","0.13933248817920685","0.13933248817920685","0.13933248817920685","144","144","144"
"14599","0.13874486088752747","0.13874486088752747","0.13874486088752747","145","145","145"
"14699","0.1406281292438507","0.1406281292438507","0.1406281292438507","146","146","146"
"14799","0.14410772919654846","0.14410772919654846","0.14410772919654846","147","147","147"
"14899","0.14407692849636078","0.14407692849636078","0.14407692849636078","148","148","148"
"14999","0.1387353390455246","0.1387353390455246","0.1387353390455246","149","149","149"
"15099","0.1375468224287033","0.1375468224287033","0.1375468224287033","150","150","150"
"15199","0.14455407857894897","0.14455407857894897","0.14455407857894897","151","151","151"
"15299","0.1350678950548172","0.1350678950548172","0.1350678950548172","152","152","152"
"15399","0.13829617202281952","0.13829617202281952","0.13829617202281952","153","153","153"
"15499","0.1396409422159195","0.1396409422159195","0.1396409422159195","154","154","154"
"15599","0.13956137001514435","0.13956137001514435","0.13956137001514435","155","155","155"
"15699","0.14814415574073792","0.14814415574073792","0.14814415574073792","156","156","156"
"15799","0.14424195885658264","0.14424195885658264","0.14424195885658264","157","157","157"
"15899","0.14245037734508514","0.14245037734508514","0.14245037734508514","158","158","158"
"15999","0.13695478439331055","0.13695478439331055","0.13695478439331055","159","159","159"
"16099","0.13749559223651886","0.13749559223651886","0.13749559223651886","160","160","160"
"16199","0.1404600292444229","0.1404600292444229","0.1404600292444229","161","161","161"
"16299","0.1368740051984787","0.1368740051984787","0.1368740051984787","162","162","162"
"16399","0.1400637924671173","0.1400637924671173","0.1400637924671173","163","163","163"
"16499","0.1373475342988968","0.1373475342988968","0.1373475342988968","164","164","164"
"16599","0.14449474215507507","0.14449474215507507","0.14449474215507507","165","165","165"
"16699","0.13905906677246094","0.13905906677246094","0.13905906677246094","166","166","166"
"16799","0.13155187666416168","0.13155187666416168","0.13155187666416168","167","167","167"
"16899","0.1396636813879013","0.1396636813879013","0.1396636813879013","168","168","168"
"16999","0.13777965307235718","0.13777965307235718","0.13777965307235718","169","169","169"
"17099","0.1402050256729126","0.1402050256729126","0.1402050256729126","170","170","170"
"17199","0.13894902169704437","0.13894902169704437","0.13894902169704437","171","171","171"
"17299","0.14176787436008453","0.14176787436008453","0.14176787436008453","172","172","172"
"17399","0.13645322620868683","0.13645322620868683","0.13645322620868683","173","173","173"
"17499","0.13231396675109863","0.13231396675109863","0.13231396675109863","174","174","174"
"17599","0.13693194091320038","0.13693194091320038","0.13693194091320038","175","175","175"
"17699","0.13981305062770844","0.13981305062770844","0.13981305062770844","176","176","176"
"17799","0.14073465764522552","0.14073465764522552","0.14073465764522552","177","177","177"
"17899","0.13646246492862701","0.13646246492862701","0.13646246492862701","178","178","178"
"17999","0.13640260696411133","0.13640260696411133","0.13640260696411133","179","179","179"
"18099","0.13660410046577454","0.13660410046577454","0.13660410046577454","180","180","180"
"18199","0.1367727667093277","0.1367727667093277","0.1367727667093277","181","181","181"
"18299","0.14131584763526917","0.14131584763526917","0.14131584763526917","182","182","182"
"18399","0.1338353455066681","0.1338353455066681","0.1338353455066681","183","183","183"
"18499","0.13518664240837097","0.13518664240837097","0.13518664240837097","184","184","184"
"18599","0.13973475992679596","0.13973475992679596","0.13973475992679596","185","185","185"
"18699","0.14160336554050446","0.14160336554050446","0.14160336554050446","186","186","186"
"18799","0.13437685370445251","0.13437685370445251","0.13437685370445251","187","187","187"
