"trainer/global_step","causal_mid - train_loss","causal_mid - train_loss__MIN","causal_mid - train_loss__MAX","causal_mid - _step","causal_mid - _step__MIN","causal_mid - _step__MAX"
"6399","0.15606017410755157","0.15606017410755157","0.15606017410755157","63","63","63"
"6499","0.15561892092227936","0.15561892092227936","0.15561892092227936","64","64","64"
"6599","0.15912270545959473","0.15912270545959473","0.15912270545959473","65","65","65"
"6699","0.15483035147190094","0.15483035147190094","0.15483035147190094","66","66","66"
"6799","0.16126391291618347","0.16126391291618347","0.16126391291618347","67","67","67"
"6899","0.1627686321735382","0.1627686321735382","0.1627686321735382","68","68","68"
"6999","0.16098451614379883","0.16098451614379883","0.16098451614379883","69","69","69"
"7099","0.15886574983596802","0.15886574983596802","0.15886574983596802","70","70","70"
"7199","0.1578500121831894","0.1578500121831894","0.1578500121831894","71","71","71"
"7299","0.15992377698421478","0.15992377698421478","0.15992377698421478","72","72","72"
"7399","0.15813013911247253","0.15813013911247253","0.15813013911247253","73","73","73"
"7499","0.16074639558792114","0.16074639558792114","0.16074639558792114","74","74","74"
"7599","0.15517638623714447","0.15517638623714447","0.15517638623714447","75","75","75"
"7699","0.15790319442749023","0.15790319442749023","0.15790319442749023","76","76","76"
"7799","0.1601353883743286","0.1601353883743286","0.1601353883743286","77","77","77"
"7899","0.15550386905670166","0.15550386905670166","0.15550386905670166","78","78","78"
"7999","0.15705010294914246","0.15705010294914246","0.15705010294914246","79","79","79"
"8099","0.1541147232055664","0.1541147232055664","0.1541147232055664","80","80","80"
"8199","0.15167012810707092","0.15167012810707092","0.15167012810707092","81","81","81"
"8299","0.15395933389663696","0.15395933389663696","0.15395933389663696","82","82","82"
"8399","0.15616567432880402","0.15616567432880402","0.15616567432880402","83","83","83"
"8499","0.14687958359718323","0.14687958359718323","0.14687958359718323","84","84","84"
"8599","0.15574347972869873","0.15574347972869873","0.15574347972869873","85","85","85"
"8699","0.15524664521217346","0.15524664521217346","0.15524664521217346","86","86","86"
"8799","0.15511417388916016","0.15511417388916016","0.15511417388916016","87","87","87"
"8899","0.15740345418453217","0.15740345418453217","0.15740345418453217","88","88","88"
"8999","0.1525903195142746","0.1525903195142746","0.1525903195142746","89","89","89"
"9099","0.1520572304725647","0.1520572304725647","0.1520572304725647","90","90","90"
"9199","0.15855106711387634","0.15855106711387634","0.15855106711387634","91","91","91"
"9299","0.15565167367458344","0.15565167367458344","0.15565167367458344","92","92","92"
"9399","0.1571442186832428","0.1571442186832428","0.1571442186832428","93","93","93"
"9499","0.14997105300426483","0.14997105300426483","0.14997105300426483","94","94","94"
"9599","0.1455926150083542","0.1455926150083542","0.1455926150083542","95","95","95"
"9699","0.15512104332447052","0.15512104332447052","0.15512104332447052","96","96","96"
"9799","0.15151675045490265","0.15151675045490265","0.15151675045490265","97","97","97"
"9899","0.14574523270130157","0.14574523270130157","0.14574523270130157","98","98","98"
"9999","0.1507689356803894","0.1507689356803894","0.1507689356803894","99","99","99"
"10099","0.15371032059192657","0.15371032059192657","0.15371032059192657","100","100","100"
"10199","0.15069714188575745","0.15069714188575745","0.15069714188575745","101","101","101"
"10299","0.15047813951969147","0.15047813951969147","0.15047813951969147","102","102","102"
"10399","0.14811107516288757","0.14811107516288757","0.14811107516288757","103","103","103"
"10499","0.15353864431381226","0.15353864431381226","0.15353864431381226","104","104","104"
"10599","0.15362665057182312","0.15362665057182312","0.15362665057182312","105","105","105"
"10699","0.1491318643093109","0.1491318643093109","0.1491318643093109","106","106","106"
"10799","0.1517336666584015","0.1517336666584015","0.1517336666584015","107","107","107"
"10899","0.15086066722869873","0.15086066722869873","0.15086066722869873","108","108","108"
"10999","0.15084999799728394","0.15084999799728394","0.15084999799728394","109","109","109"
"11099","0.14905887842178345","0.14905887842178345","0.14905887842178345","110","110","110"
"11199","0.15209223330020905","0.15209223330020905","0.15209223330020905","111","111","111"
"11299","0.15342365205287933","0.15342365205287933","0.15342365205287933","112","112","112"
"11399","0.15229247510433197","0.15229247510433197","0.15229247510433197","113","113","113"
"11499","0.1551596224308014","0.1551596224308014","0.1551596224308014","114","114","114"
"11599","0.150260329246521","0.150260329246521","0.150260329246521","115","115","115"
"11699","0.15264104306697845","0.15264104306697845","0.15264104306697845","116","116","116"
"11799","0.1529761701822281","0.1529761701822281","0.1529761701822281","117","117","117"
"11899","0.151320219039917","0.151320219039917","0.151320219039917","118","118","118"
"11999","0.14435648918151855","0.14435648918151855","0.14435648918151855","119","119","119"
"12099","0.15108083188533783","0.15108083188533783","0.15108083188533783","120","120","120"
"12199","0.14853277802467346","0.14853277802467346","0.14853277802467346","121","121","121"
