"trainer/global_step","prefix4sinh_mid - train_loss","prefix4sinh_mid - train_loss__MIN","prefix4sinh_mid - train_loss__MAX","prefix4sinh_mid - _step","prefix4sinh_mid - _step__MIN","prefix4sinh_mid - _step__MAX"
"6799","0.17975421249866486","0.17975421249866486","0.17975421249866486","67","67","67"
"6899","0.1681363880634308","0.1681363880634308","0.1681363880634308","68","68","68"
"6999","0.1712346225976944","0.1712346225976944","0.1712346225976944","69","69","69"
"7099","0.15905886888504028","0.15905886888504028","0.15905886888504028","70","70","70"
"7199","0.15976831316947937","0.15976831316947937","0.15976831316947937","71","71","71"
"7299","0.1618046909570694","0.1618046909570694","0.1618046909570694","72","72","72"
"7399","0.16437280178070068","0.16437280178070068","0.16437280178070068","73","73","73"
"7499","0.15987654030323029","0.15987654030323029","0.15987654030323029","74","74","74"
"7599","0.152450293302536","0.152450293302536","0.152450293302536","75","75","75"
"7699","0.1583080142736435","0.1583080142736435","0.1583080142736435","76","76","76"
"7799","0.15427996218204498","0.15427996218204498","0.15427996218204498","77","77","77"
"7899","0.15626487135887146","0.15626487135887146","0.15626487135887146","78","78","78"
"7999","0.15556105971336365","0.15556105971336365","0.15556105971336365","79","79","79"
"8099","0.14936226606369019","0.14936226606369019","0.14936226606369019","80","80","80"
"8199","0.1485416442155838","0.1485416442155838","0.1485416442155838","81","81","81"
"8299","0.15120269358158112","0.15120269358158112","0.15120269358158112","82","82","82"
"8399","0.1552010029554367","0.1552010029554367","0.1552010029554367","83","83","83"
"8499","0.15005360543727875","0.15005360543727875","0.15005360543727875","84","84","84"
"8599","0.15541361272335052","0.15541361272335052","0.15541361272335052","85","85","85"
"8699","0.15214642882347107","0.15214642882347107","0.15214642882347107","86","86","86"
"8799","0.1557988077402115","0.1557988077402115","0.1557988077402115","87","87","87"
"8899","0.15237660706043243","0.15237660706043243","0.15237660706043243","88","88","88"
"8999","0.1514187753200531","0.1514187753200531","0.1514187753200531","89","89","89"
"9099","0.15228942036628723","0.15228942036628723","0.15228942036628723","90","90","90"
"9199","0.15773391723632812","0.15773391723632812","0.15773391723632812","91","91","91"
"9299","0.15512654185295105","0.15512654185295105","0.15512654185295105","92","92","92"
"9399","0.154203400015831","0.154203400015831","0.154203400015831","93","93","93"
"9499","0.14761970937252045","0.14761970937252045","0.14761970937252045","94","94","94"
"9599","0.14354318380355835","0.14354318380355835","0.14354318380355835","95","95","95"
"9699","0.15714794397354126","0.15714794397354126","0.15714794397354126","96","96","96"
"9799","0.15064527094364166","0.15064527094364166","0.15064527094364166","97","97","97"
"9899","0.1412232667207718","0.1412232667207718","0.1412232667207718","98","98","98"
"9999","0.15150834619998932","0.15150834619998932","0.15150834619998932","99","99","99"
"10099","0.14939823746681213","0.14939823746681213","0.14939823746681213","100","100","100"
"10199","0.1484392285346985","0.1484392285346985","0.1484392285346985","101","101","101"
"10299","0.14434218406677246","0.14434218406677246","0.14434218406677246","102","102","102"
"10399","0.14551305770874023","0.14551305770874023","0.14551305770874023","103","103","103"
"10499","0.150466650724411","0.150466650724411","0.150466650724411","104","104","104"
"10599","0.15149497985839844","0.15149497985839844","0.15149497985839844","105","105","105"
"10699","0.14597363770008087","0.14597363770008087","0.14597363770008087","106","106","106"
"10799","0.1494402438402176","0.1494402438402176","0.1494402438402176","107","107","107"
"10899","0.14654132723808289","0.14654132723808289","0.14654132723808289","108","108","108"
"10999","0.14710873365402222","0.14710873365402222","0.14710873365402222","109","109","109"
"11099","0.14315855503082275","0.14315855503082275","0.14315855503082275","110","110","110"
"11199","0.14769843220710754","0.14769843220710754","0.14769843220710754","111","111","111"
"11299","0.1533728390932083","0.1533728390932083","0.1533728390932083","112","112","112"
"11399","0.14959070086479187","0.14959070086479187","0.14959070086479187","113","113","113"
"11499","0.1503962129354477","0.1503962129354477","0.1503962129354477","114","114","114"
"11599","0.14760911464691162","0.14760911464691162","0.14760911464691162","115","115","115"
"11699","0.14878568053245544","0.14878568053245544","0.14878568053245544","116","116","116"
"11799","0.14855700731277466","0.14855700731277466","0.14855700731277466","117","117","117"
"11899","0.14859169721603394","0.14859169721603394","0.14859169721603394","118","118","118"
"11999","0.1383666843175888","0.1383666843175888","0.1383666843175888","119","119","119"
"12099","0.14377254247665405","0.14377254247665405","0.14377254247665405","120","120","120"
"12199","0.14408697187900543","0.14408697187900543","0.14408697187900543","121","121","121"
"12299","0.14027544856071472","0.14027544856071472","0.14027544856071472","122","122","122"
"12399","0.14546267688274384","0.14546267688274384","0.14546267688274384","123","123","123"
"12499","0.14532338082790375","0.14532338082790375","0.14532338082790375","124","124","124"
"12599","0.14393365383148193","0.14393365383148193","0.14393365383148193","125","125","125"
"12699","0.14350858330726624","0.14350858330726624","0.14350858330726624","126","126","126"
"12799","0.14530794322490692","0.14530794322490692","0.14530794322490692","127","127","127"
"12899","0.1516890823841095","0.1516890823841095","0.1516890823841095","128","128","128"
"12999","0.1478268951177597","0.1478268951177597","0.1478268951177597","129","129","129"
"13099","0.14753587543964386","0.14753587543964386","0.14753587543964386","130","130","130"
"13199","0.14344501495361328","0.14344501495361328","0.14344501495361328","131","131","131"
"13299","0.14783711731433868","0.14783711731433868","0.14783711731433868","132","132","132"
"13399","0.13893872499465942","0.13893872499465942","0.13893872499465942","133","133","133"
"13499","0.14198197424411774","0.14198197424411774","0.14198197424411774","134","134","134"
"13599","0.14150698482990265","0.14150698482990265","0.14150698482990265","135","135","135"
"13699","0.13879068195819855","0.13879068195819855","0.13879068195819855","136","136","136"
"13799","0.14746101200580597","0.14746101200580597","0.14746101200580597","137","137","137"
"13899","0.14144167304039001","0.14144167304039001","0.14144167304039001","138","138","138"
"13999","0.1431616246700287","0.1431616246700287","0.1431616246700287","139","139","139"
"14099","0.1448390632867813","0.1448390632867813","0.1448390632867813","140","140","140"
"14199","0.14471030235290527","0.14471030235290527","0.14471030235290527","141","141","141"
"14299","0.1427454650402069","0.1427454650402069","0.1427454650402069","142","142","142"
"14399","0.140828937292099","0.140828937292099","0.140828937292099","143","143","143"
"14499","0.13926400244235992","0.13926400244235992","0.13926400244235992","144","144","144"
"14599","0.1378682553768158","0.1378682553768158","0.1378682553768158","145","145","145"
"14699","0.13984067738056183","0.13984067738056183","0.13984067738056183","146","146","146"
"14799","0.14343686401844025","0.14343686401844025","0.14343686401844025","147","147","147"
"14899","0.139158695936203","0.139158695936203","0.139158695936203","148","148","148"
"14999","0.14266127347946167","0.14266127347946167","0.14266127347946167","149","149","149"
"15099","0.14060057699680328","0.14060057699680328","0.14060057699680328","150","150","150"
"15199","0.1419258564710617","0.1419258564710617","0.1419258564710617","151","151","151"
"15299","0.14173492789268494","0.14173492789268494","0.14173492789268494","152","152","152"
"15399","0.137941375374794","0.137941375374794","0.137941375374794","153","153","153"
"15499","0.14071840047836304","0.14071840047836304","0.14071840047836304","154","154","154"
"15599","0.13568343222141266","0.13568343222141266","0.13568343222141266","155","155","155"
"15699","0.13334526121616364","0.13334526121616364","0.13334526121616364","156","156","156"
"15799","0.13863854110240936","0.13863854110240936","0.13863854110240936","157","157","157"
"15899","0.14073660969734192","0.14073660969734192","0.14073660969734192","158","158","158"
"15999","0.13060227036476135","0.13060227036476135","0.13060227036476135","159","159","159"
"16099","0.1422129124403","0.1422129124403","0.1422129124403","160","160","160"
"16199","0.13487306237220764","0.13487306237220764","0.13487306237220764","161","161","161"
"16299","0.1361481249332428","0.1361481249332428","0.1361481249332428","162","162","162"
"16399","0.13620226085186005","0.13620226085186005","0.13620226085186005","163","163","163"
"16499","0.13915346562862396","0.13915346562862396","0.13915346562862396","164","164","164"
"16599","0.14059758186340332","0.14059758186340332","0.14059758186340332","165","165","165"
"16699","0.13916955888271332","0.13916955888271332","0.13916955888271332","166","166","166"
"16799","0.13554096221923828","0.13554096221923828","0.13554096221923828","167","167","167"
"16899","0.1400594264268875","0.1400594264268875","0.1400594264268875","168","168","168"
"16999","0.14161153137683868","0.14161153137683868","0.14161153137683868","169","169","169"
"17099","0.13320285081863403","0.13320285081863403","0.13320285081863403","170","170","170"
"17199","0.14249491691589355","0.14249491691589355","0.14249491691589355","171","171","171"
"17299","0.14411601424217224","0.14411601424217224","0.14411601424217224","172","172","172"
"17399","0.1403377801179886","0.1403377801179886","0.1403377801179886","173","173","173"
"17499","0.1309034526348114","0.1309034526348114","0.1309034526348114","174","174","174"
"17599","0.14234398305416107","0.14234398305416107","0.14234398305416107","175","175","175"
"17699","0.13740737736225128","0.13740737736225128","0.13740737736225128","176","176","176"
"17799","0.13365210592746735","0.13365210592746735","0.13365210592746735","177","177","177"
"17899","0.13848760724067688","0.13848760724067688","0.13848760724067688","178","178","178"
"17999","0.14201483130455017","0.14201483130455017","0.14201483130455017","179","179","179"
"18099","0.13911312818527222","0.13911312818527222","0.13911312818527222","180","180","180"
"18199","0.14920814335346222","0.14920814335346222","0.14920814335346222","181","181","181"
"18299","0.13819801807403564","0.13819801807403564","0.13819801807403564","182","182","182"
"18399","0.13619008660316467","0.13619008660316467","0.13619008660316467","183","183","183"
"18499","0.13168518245220184","0.13168518245220184","0.13168518245220184","184","184","184"
"18599","0.13619883358478546","0.13619883358478546","0.13619883358478546","185","185","185"
"18699","0.1379421204328537","0.1379421204328537","0.1379421204328537","186","186","186"
